證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1717","長興","1503968","42642501","28.30","28.60","28.15","28.50","-0.1000","770"
"1718","中纖","6005964","45074522","7.57","7.57","7.46","7.52","-0.1700","2076"
"1720","生達","214974","13301370","61.90","62.40","61.50","62.30","0.1000","249"
"1721","三晃","1732662","27122704","15.50","16.05","15.30","15.90","0.2000","973"
"1722","台肥","1200062","63513366","52.90","53.30","52.60","53.10","-0.2000","758"
"1723","中碳","195142","19151044","98.50","98.80","97.50","98.80","-0.1000","712"
"1725","元禎","25045","943443","37.15","37.75","37.15","37.75","0.0000","22"
"1726","永記","46357","3564277","77.20","77.20","76.40","76.50","-0.7000","53"
"1727","中華化","1522500","45215702","29.05","30.45","28.30","30.25","1.1500","873"
"1730","花仙子","26210","1454715","55.60","55.60","55.30","55.50","-0.1000","37"
"1731","美吾華","187687","4486476","23.95","24.00","23.80","24.00","0.1000","205"
"1732","毛寶","233593","6569057","28.40","28.40","28.00","28.10","-0.4500","205"
"1733","五鼎","56293","1711970","30.40","30.65","30.15","30.60","0.0500","249"
"1734","杏輝","161804","5040123","31.30","31.35","31.00","31.30","-0.1500","249"
"1735","日勝化","287623","5919719","21.30","21.35","20.15","20.40","-0.5000","483"
"1736","喬山","4770696","946027488","188.00","205.50","186.50","205.50","18.5000","7622"
"1737","臺鹽","156847","5126725","32.60","32.75","32.50","32.75","0.1500","347"
"1752","南光","88486","3826214","43.15","43.55","42.95","43.10","-0.2500","71"
"1760","寶齡富錦","115944","9602544","83.00","83.90","82.00","83.90","0.0000","198"
"1762","中化生","71409","2457231","34.75","34.80","34.05","34.55","-0.3000","401"
"1773","勝一","502818","78671631","156.00","158.50","154.00","158.50","0.5000","632"
"1776","展宇","103113","1952145","19.15","19.15","18.70","19.10","-0.1000","85"
"1783","和康生","692863","37426596","53.10","54.90","52.70","53.70","0.7000","918"
"1786","科妍","628717","76701877","122.50","124.50","119.50","124.50","1.0000","616"
"1789","神隆","604709","13694522","22.70","22.85","22.40","22.85","-0.1000","412"
"1795","美時","1607628","423832589","264.50","268.00","260.00","267.50","-1.0000","2694"
"1802","台玻","12241151","200500740","16.50","16.55","16.25","16.40","-0.3000","3934"
"1805","寶徠","132498","2072646","15.70","15.80","15.50","15.70","-0.2000","94"
"1806","冠軍","402328","3844310","9.63","9.65","9.47","9.59","-0.0700","396"
"1808","潤隆","1141425","41675860","36.75","36.80","36.05","36.75","-0.3500","1013"
"1809","中釉","444738","8571044","19.50","19.50","19.00","19.35","-0.1500","423"
"1810","和成","236533","3988999","17.00","17.05","16.70","17.05","0.0000","130"
"1817","凱撒衛","612945","28951663","49.70","49.70","46.15","46.15","-3.8500","577"
"1903","士紙","117984","5927497","49.95","50.40","49.95","50.40","0.3000","164"
"1904","正隆","761590","15207576","20.10","20.15","19.80","20.15","0.0500","913"
"1905","華紙","724892","12035131","16.70","16.90","16.35","16.90","0.0000","629"
"1906","寶隆","33722","472101","14.00","14.15","13.85","14.15","0.1000","113"
"1907","永豐餘","821708","24437499","29.70","29.95","29.60","29.85","-0.1500","555"
"1909","榮成","1036662","11967884","11.65","11.70","11.40","11.70","0.0000","439"
"2002","中鋼","53253946","1253073057","23.75","23.80","23.30","23.60","-0.4000","20301"
"2002A","中鋼特","89404","3594027","40.15","40.25","40.15","40.20","0.0500","33"
"2006","東和鋼鐵","3365858","256385779","74.80","77.20","74.70","76.10","0.9000","3194"
"2007","燁興","413207","4526402","11.00","11.05","10.85","11.00","-0.0500","189"
"2008","高興昌","38364","1116519","29.10","29.20","29.05","29.10","0.0500","38"
"2009","第一銅","3724690","153044561","41.00","41.75","40.70","40.90","0.0000","2661"
"2010","春源","603217","11324650","18.90","18.90","18.60","18.90","-0.1000","443"
"2012","春雨","42794","1136092","26.60","26.65","26.45","26.65","-0.0500","219"
"2013","中鋼構","120333","6375002","52.80","53.40","52.60","52.90","-0.3000","254"
"2014","中鴻","19748722","466980072","23.55","24.15","23.20","23.70","-0.1500","8237"
"2015","豐興","953770","69105029","71.90","73.10","71.40","72.10","0.3000","922"
"2017","官田鋼","955377","11855654","12.40","12.60","12.30","12.60","0.1000","563"
"2020","美亞","823986","25014028","30.40","30.75","30.10","30.60","0.0500","746"
"2022","聚亨","1301479","13135426","10.15","10.20","10.05","10.10","-0.1500","619"
